order_completed_at,unique_order_count,year,month,day,dayofweek_num,midmonth,payday,double_date
2024-01-18,311,2024,1,18,3,0,0,0
2024-01-19,285,2024,1,19,4,0,0,0
2024-01-20,290,2024,1,20,5,0,0,0
2024-01-21,308,2024,1,21,6,0,0,0
2024-01-22,288,2024,1,22,0,0,0,0
2024-01-23,313,2024,1,23,1,0,0,0
2024-01-24,291,2024,1,24,2,0,0,0
2024-01-25,446,2024,1,25,3,0,1,0
2024-01-26,292,2024,1,26,4,0,1,0
2024-01-27,299,2024,1,27,5,0,1,0
2024-01-28,293,2024,1,28,6,0,1,0
2024-01-29,341,2024,1,29,0,0,1,0
2024-01-30,338,2024,1,30,1,0,1,0
2024-01-31,455,2024,1,31,2,0,1,0
2024-02-01,511,2024,2,1,3,0,0,0
2024-02-02,658,2024,2,2,4,0,0,1
2024-02-03,515,2024,2,3,5,0,0,0
2024-02-04,684,2024,2,4,6,0,0,0
2024-02-05,915,2024,2,5,0,0,0,0
2024-02-06,1156,2024,2,6,1,0,0,0
2024-02-07,466,2024,2,7,2,0,0,0
2024-02-08,170,2024,2,8,3,0,0,0
2024-02-09,171,2024,2,9,4,0,0,0
2024-02-10,207,2024,2,10,5,0,0,0
2024-02-11,245,2024,2,11,6,0,0,0
2024-02-12,320,2024,2,12,0,0,0,0
2024-02-13,341,2024,2,13,1,0,0,0
2024-02-14,336,2024,2,14,2,0,0,0
2024-02-15,420,2024,2,15,3,1,0,0
2024-02-16,306,2024,2,16,4,0,0,0
2024-02-17,304,2024,2,17,5,0,0,0
2024-02-18,292,2024,2,18,6,0,0,0
2024-02-19,333,2024,2,19,0,0,0,0
2024-02-20,317,2024,2,20,1,0,0,0
2024-02-21,334,2024,2,21,2,0,0,0
2024-02-22,452,2024,2,22,3,0,0,0
2024-02-23,384,2024,2,23,4,0,0,0
2024-02-24,262,2024,2,24,5,0,0,0
2024-02-25,321,2024,2,25,6,0,1,0
2024-02-26,288,2024,2,26,0,0,1,0
2024-02-27,276,2024,2,27,1,0,1,0
2024-02-28,254,2024,2,28,2,0,1,0
2024-02-29,171,2024,2,29,3,0,1,0
2024-03-01,174,2024,3,1,4,0,0,0
2024-03-02,183,2024,3,2,5,0,0,0
2024-03-03,475,2024,3,3,6,0,0,1
